Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,VAT Exclusive,Description of Property,Property Size Description,lat,lng
14/10/2021,"52 CEDAR BROOK WAY, CHERRY ORCHARD, DUBLIN 10",Dublin,D10T841,165000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3370207,-6.3794062
11/6/2021,"4 Curragh Ard, Kanturk",Cork,,245120,No,Yes,1,New Dwelling house /Apartment,,52.1889663,-8.910728
5/2/2021,"9 ESMONDALE, NAAS, KILDARE",Kildare,,250000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2046808,-6.667875
25/06/2021,"161 CRUISE PARK DR, TYRRELSTOWN, DUBLIN 15",Dublin,D15X653,272000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4205557,-6.3969417
9/4/2021,"75 HIGHFIELD PARK, DUNDRUM, DUBLIN 14",Dublin,,850000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2994717,-6.2500332
16/08/2021,"55 GLENSIDE, BALLYCARNANE WOODS, TRAMORE",Waterford,X91T2N1,320000,No,No,0,Second-Hand Dwelling house /Apartment,,52.1633954,-7.1693224
17/12/2021,"81 THE SPIRES, CARRIGNAFOY, COBH",Cork,P24AT80,280000,No,No,0,Second-Hand Dwelling house /Apartment,,51.85722,-8.29917
30/06/2021,"HILL VIEW, KILLONE, STRADBALLY",Laois,,310000,No,No,0,Second-Hand Dwelling house /Apartment,,53.01556,-7.15278
1/10/2021,"16 The Rise, Westfield, Leixlip",Kildare,,370040,No,Yes,1,New Dwelling house /Apartment,,53.3688935,-6.5204856
15/07/2021,"66 AN DUICHE, SCALLAGHEEN, CO TIPPERARY",Tipperary,E34Y793,136000,No,No,0,Second-Hand Dwelling house /Apartment,,52.66667,-7.83333
10/8/2021,"51 KILWARDEN COURT, BOOT RD, CLONDALKIN DUBLIN 22",Dublin,D22PF75,195000,No,No,0,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
28/06/2021,"14 Castle Park, Killycard, Castleblayney",Monaghan,,224670,No,Yes,1,New Dwelling house /Apartment,,54.11667,-6.73333
31/03/2021,"10 LORETO WOOD, CAVAN, CAVAN",Cavan,,137500,No,No,0,Second-Hand Dwelling house /Apartment,,54.0159817,-7.3709647
12/7/2021,"27 ARD NA GREINE, ROSCREA, TIPPERARY",Tipperary,E53DA39,144000,No,No,0,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
20/12/2021,"18 THE PARK, THE HAWTHORNS, ARDEN ROAD",Offaly,,242290,No,Yes,1,New Dwelling house /Apartment,,53.2686568,-7.4984017
10/12/2021,"38 PAIRC NA HABAIN, EDGEWORTHSTOWN, LONGFORD",Longford,N39XT22,175000,Yes,No,0,Second-Hand Dwelling house /Apartment,,53.7,-7.61667
15/10/2021,"31 BOROIMHE ROWAN, SWORDS, DUBLIN",Dublin,K67X211,275000,No,No,0,Second-Hand Dwelling house /Apartment,,53.4447525,-6.2410083
21/09/2021,"52 Park Avenue, Millers Glen, Swords",Dublin,,370040,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
8/1/2021,"ARDMAYLE, CASHEL, TIPPERARY",Tipperary,,247500,No,No,0,Second-Hand Dwelling house /Apartment,,52.5651949,-7.9426649
6/5/2021,"3 Albany, Killiney Hill Road, Killiney",Dublin,,788550,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
17/12/2021,"KATHREW, 4 MOUNT PLEASANT RD, TURNERS CROSS",Cork,T12NY8K,210000,No,No,0,Second-Hand Dwelling house /Apartment,,51.80556,-9.10417
11/11/2021,"56 Hollywoodrath Drive, Hollystown",Dublin,,383260,No,Yes,1,New Dwelling house /Apartment,,53.33306,-6.24889
26/05/2021,"146 KILBARRY PLACE, FARRANREE, CORK",Cork,T23W5R5,160000,No,No,0,Second-Hand Dwelling house /Apartment,,51.916144,-8.4794815
26/03/2021,"29 BUTLER AVE, THURLES, TIPPERARY",Tipperary,,87000,No,No,0,Second-Hand Dwelling house /Apartment,,52.6767801,-7.8196167
2/7/2021,"5 THE DUNES SANDHILL, DUNFANAGHY, LETTERKENNY",Donegal,,270000,No,No,0,Second-Hand Dwelling house /Apartment,,54.95,-7.73333
15/03/2021,"DOGSTOWN, CROSSAKIEL, KELLS",Meath,,335000,No,No,0,Second-Hand Dwelling house /Apartment,,53.72639,-6.87917
9/12/2021,"45 RAHYLIN GLEBE, BALLYBANE, GALWAY",Galway,H91NV9K,239000,No,No,0,Second-Hand Dwelling house /Apartment,,53.2835943,-9.0097314
7/9/2021,"2 Beechwood Avenue, Park Road, Killarney",Kerry,,236120,No,Yes,1,New Dwelling house /Apartment,,52.05,-9.51667
14/05/2021,"6 Gateway Park, Skagh, Croom",Limerick,,295110,No,Yes,1,New Dwelling house /Apartment,,52.51944,-8.71778
10/11/2021,"1 DRUMALEE MANOR, CAVAN, CAVAN",Cavan,H12C566,177000,No,No,0,Second-Hand Dwelling house /Apartment,,53.9983848,-7.3494407
27/08/2021,"BOG ROAD VIEW, NASH'S BOREEN, UPPER FAIRFIELD",Cork,T23H4XR,215000,No,No,0,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
13/05/2021,"8 Farmhill Manor, Strandhill Road, Sligo",Sligo,,254630,No,Yes,1,New Dwelling house /Apartment,,54.26969,-8.46943
22/10/2021,"BALLINCONNELL, BALLINFULL, SLIGO",Sligo,,298000,No,No,0,Second-Hand Dwelling house /Apartment,,54.26969,-8.46943
8/7/2021,"25 HERON ST, ASTON VILLAGE, DROGHEDA",Louth,A92D50F,205000,No,No,0,Second-Hand Dwelling house /Apartment,,53.71889,-6.34778
25/11/2021,"5 THE PARK, THE HAWTHORNS, TULLAMORE",Offaly,R35W9H3,251100,No,Yes,1,New Dwelling house /Apartment,,53.2681137,-7.4990903
27/08/2021,"4 MONASTERY HEATH COURT, CLONDALKIN, DUBLIN 22",Dublin,D22WY43,225000,No,No,0,Second-Hand Dwelling house /Apartment,,53.3201106,-6.3817618
28/10/2021,"GLENBOY, MANORHAMILTON, CO LEITRIM",Leitrim,F91V085,120000,No,No,0,Second-Hand Dwelling house /Apartment,,54.289722,-8.12
27/08/2021,"RAMPARK HOUSE, CORRACREIGH, ELPHIN",Roscommon,F45CY56,210000,No,No,0,Second-Hand Dwelling house /Apartment,,53.85,-8.2
24/03/2021,"51 MELLOWS PARK, OLDCASTLE, MEATH",Meath,,97500,No,No,0,Second-Hand Dwelling house /Apartment,,53.76648,-7.16284
31/03/2021,"6 AN LOCHAN, CASTLEGAR, HEADFORD RD",Galway,H91W1X7,165500,No,No,0,Second-Hand Dwelling house /Apartment,,53.27194,-9.04889
