Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
04/07/2024,"61 WEST RD, EAST WALL, DUBLIN 3",Dublin,D03YT22,"€457,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3554058,-6.2386221
10/12/2024,"41 BRABAZON LINKS, BETTYSTOWN, CO MEATH",Meath,A92XR12,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7036549,-6.2504097
20/12/2024,"MAIN ST, KILBEGGAN, CO WESTMEATH",Westmeath,N91DNE0,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.36944,-7.50333
27/03/2024,"WINDRUSH, KNOCKSINNA, FOXROCK DUBLIN 18",Dublin,D18Y5H0,"€1,734,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2735412,-6.1816137
13/02/2024,"22 MANORSFIELD VIEW, CASTAHEANY, DUBLIN 15",Dublin,D15A7N6,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
10/10/2024,"18 Tandys Mews, Tandys Lane, Adamstown",Dublin,,"€568,281.93",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
05/04/2024,"4 CASTLE MEADOWS, MURRINTOWN, WEXFORD",Wexford,Y35WPH3,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.2879722,-6.5262933
20/11/2024,"103 THE BEECHES, BALLYBOFEY, DONEGAL",Donegal,F93N1F9,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.8,-7.78333
14/10/2024,"198 THE ASH, CHARLEVILE SQ, BUSSERFIELD AVE",Dublin,D14XC97,"€480,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
29/02/2024,"26 Suttonfield Paddocks, Ballybetagh Road, Kilternan",Dublin,,"€634,361.00",No,Yes,New Dwelling house /Apartment,,53.33306,-6.24889
24/04/2024,"No. 34 Burgage Castle, Blessington, Co. Wicklow",Wicklow,,"€427,312.77",No,Yes,New Dwelling house /Apartment,,53.1610241,-6.5424639
11/12/2024,"213 TUSKAR ROCK, CUSTOM HOUSE HARBOUR, DUBLIN 1",Dublin,D01VR94,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/04/2024,"10 THE PINE, COACHROAD  MEADOWS, CLANE",Kildare,,"€440,528.63",No,Yes,New Dwelling house /Apartment,,53.29139,-6.68917
13/03/2024,"33 SPRINGFIELD GROVE, TIPPERARY, TIPPERARY",Tipperary,E34VH68,"€198,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,52.47333,-8.15583
08/02/2024,"30 SILVERSTREAM AVENUE, STAMEEN, DROGHEDA",Louth,A92E7D7,"€346,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.7057908,-6.3159417
11/09/2024,"47 YEATS HEIGHTS, SLIGO",Sligo,F91H2A3,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.2823212,-8.4521925
28/11/2024,"35 Chlestown Woods, Midleton",Cork,,"€485,000.00",No,Yes,New Dwelling house /Apartment,,51.91526,-8.18052
28/06/2024,"APARTMENT NO.4, 29-30 LAD LANE, BAGGOT STREET",Dublin,D02HC62,"€990,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
22/03/2024,"8 CHARNWOOD GREEN, CLONSILLA, DUBLIN 15",Dublin,D15C3H6,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3859162,-6.4115875
