Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
28/04/2023,"14 CHURCHFIELD, CLANE, KILDARE",Kildare,W91XY91,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2906292,-6.6839918
30/03/2023,"ST ANTHONYS, 6 BETTYSFORT, MONASTERY RD DUBLIN 22",Dublin,D22A039,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
26/10/2023,"MONASET, RAHUGH, KILBEGGAN",Westmeath,,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.36944,-7.50333
22/05/2023,"14 THE CRESCENT, CASTLEBLAYNEY, MONAGHAN.",Monaghan,A75HN59,"€99,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.1207575,-6.7472177
11/01/2023,"2 LANESBOROUGH CASTLE, LANESBOROUGH GARDENS, FINGLAS DUBLIN 11",Dublin,D11Y893,"€272,950.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
30/08/2023,"11 BELARMINE COURT, ENNISKERRY RD, STEPASIDE",Dublin,D18XV12,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/05/2023,"CROSSHILL, KEADUE, BOYLE",Roscommon,F52EP48,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.96667,-8.3
22/05/2023,"9 BEECH GROVE, GREENFIELDS, OLD TRAMORE RD",Waterford,X91PDW0,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.25833,-7.11194
20/02/2023,"62 CHURCH VIEW, EDEN GATE, DELGANY",Wicklow,A63W584,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.13083,-6.09139
08/06/2023,"69 KILWORTH ROAD, DRIMNAGH, DUBLIN 12",Dublin,D12A893,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3293127,-6.3291955
24/02/2023,"KILLYSHANE, PALATINE, CARLOW",Carlow,R93E1W7,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.84083,-6.92611
27/10/2023,"1 THE GREEN, RATHMOLYON, MEATH",Meath,A83VF86,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.48989,-6.80537
15/03/2023,"51 ARD AULINN, MUNGRET, CO LIMERICK",Limerick,V94R8HW,"€343,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.63583,-8.69667
31/07/2023,"LEHENAGH, CASTLEBLAKENEY, BALLINASLOE",Galway,H53Y521,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3275,-8.21944
27/11/2023,"KNOCKANURE, BALLYMAKEERA, MACROOM",Cork,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.9,-8.95
09/11/2023,"21 ASH MEADOWS, BALLYBOFY, DONEGAL",Donegal,F93P2E7,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.65,-8.11667
03/02/2023,"10 CASTLE COURT, BIRR, OFFALY",Offaly,R42R267,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1033532,-7.9157453
19/07/2023,"42 GREAT WILLIAM O'BRIEN ST, BLACKPOOL, CORK",Cork,T23D8FV,"€187,500.00",No,No,Second-Hand Dwelling house /Apartment,,51.9101362,-8.47466
02/06/2023,"2 ST BRENDANS COTTAGES, IRISHTOWN, DUBLIN 4",Dublin,D04Y540,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/08/2023,"1  Arlington, Kerry Pike",Cork,,"€396,475.00",No,Yes,New Dwelling house /Apartment,,51.89797,-8.47061
27/01/2023,"10 Spring View, Gorey Hill, Gorey",Wexford,,"€259,912.00",No,Yes,New Dwelling house /Apartment,,52.67472,-6.2925
