Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
29/11/2017,"45 ALDERGROVE, NAAS, CO KILDARE",Kildare,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.21583,-6.66694
15/12/2017,"1 SHRAGH, DOONBEG, KILRUSH",Clare,,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.63972,-9.48333
17/10/2017,"25 GLEN ELLAN GROVE, SWORDS, DUBLIN",Dublin,,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4682028,-6.2342112
13/11/2017,"146 TURVEY WALK, THE GALLERY, DONABATE",Dublin,,"€263,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.4860194,-6.1526053
09/07/2017,"46 CORRAN ARD, KILKENNY RD, ATHY",Kildare,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.99139,-6.98028
07/12/2017,"KILCAVAN, TARA HILL, GOREY",Wexford,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.67472,-6.2925
28/11/2017,"78 The Borough, Moneygourney, Douglas",Cork,,"€129,236.06",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,51.87444,-8.435
05/12/2017,"57 OYSTER BAY COURT, CARLINGFORD, LOUTH",Louth,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.0391499,-6.1759832
06/06/2017,"ST VINCENTS, CLASH EAST, TRALEE",Kerry,,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
08/11/2017,"22 SUMMERFIELD RISE, BLANCHARDSTOWN, DUBLIN 15",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.3889881,-6.3870125
22/11/2017,"3 Fortwilliam, Burkeen Hall, Wicklow",Wicklow,,"€453,744.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,52.975,-6.04944
12/06/2017,"30 ANLEY COURT, ESKER LANE, LUCAN",Dublin,,"€252,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/12/2017,"6 BROOK LODGE HOUSE, OAKVIEW VILLAGE, TRALEE",Kerry,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.27042,-9.70264
20/01/2017,"137 THE OVAL, TULLYVALE, CABINTEELY",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.2480723,-6.1460611
02/06/2017,"13 Hawthorn Gate, Celbridge",Kildare,,"€339,207.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.3508018,-6.5437489
08/05/2017,"18 AVONDALE HALL, 151 PARNELL ST, DUBLIN 1",Dublin,,"€150,500.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
09/05/2017,"58 THE MANOR, CLONDULANE, FERMOY",Cork,,"€139,500.00",No,No,Second-Hand Dwelling house /Apartment,,52.13583,-8.27583
21/06/2017,"LISDUANE, EYRECOURT, GALWAY",Galway,,"€58,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.1975,-8.1325
03/05/2017,"APT 10 GLOUCESTER SQUARE, RAILWAY STREET, DUBLIN 1",Dublin,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
04/09/2017,"2 HALL DEMESNE, THE GLEN, MOUNTCHARLES",Donegal,,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,,54.64639,-8.19556
28/04/2017,"7 OUR LADY OF LOURDES PK, BALLINLOUGH RD, CORK",Cork,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.89797,-8.47061
07/09/2017,"24 BROOMHALL CRESCENT, NT RATHNEW, WICKLOW",Wicklow,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.99056,-6.08528
08/09/2017,"HICKORY RIDGE, WHITSHED RD, GREYSTONES",Wicklow,,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.140243,-6.0721151
10/01/2017,"13 CHURCHILL, CLONES, MONAGHAN",Monaghan,,"€95,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,54.18333,-7.23333
15/06/2017,"97 KICKHAM ROAD, INCHICORE, DUBLIN 8",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
12/09/2017,"23 KILDARE RD, CRUMLIN, DUBLIN 12",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.325109,-6.3130704
21/02/2017,"APT 22, SUMMERHAVEN, CARRICK ON SHANNON",Leitrim,,"€108,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.94694,-8.09
20/01/2017,"KNOCKENREE, AVOCA, WICKLOW",Wicklow,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.85278,-6.21694
13/12/2017,"22 CARRIGWEIR, TUAM",Galway,,"€135,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.51667,-8.85
28/06/2017,"2 KRIBENSIS MANOR, WILLIAMSTOWN STUD, CLONEE",Meath,,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.41167,-6.44417
