Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (???),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,lat,lng
10/5/2018,"11 LAUREL AVENUE, KNOCKAVOTA, MILLTOWN",Kerry,,"???137,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.15,-9.71667
27/07/2018,"19 LISSADYRA, BALLYGADDY RD, TUAM",Galway,,"???160,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.51667,-8.85
5/10/2018,"KILLEEN, NARRAGHMORE, ATHY",Kildare,,"???100,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.0439244,-6.8454286
11/12/2018,"17 HARBOUR VIEW, CROFTON RD, DUN LAOGHAIRE",Dublin,,"???450,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
2/11/2018,"93 THE PADDOCKS, WESTBURY, CORBALLY",Clare,,"???180,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.70917,-9.64639
4/10/2018,"27 Somerton Avenue, Newcastle Road, Lucan",Dublin,,"???396,475.77",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.33306,-6.24889
18/07/2018,"11 Dunville Avenue, 'Dunville', Athlumney",Meath,,"???210,849.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.66667,-6.66667
14/06/2018,"7 BEECHLAWN MEWS, BEECHLAWN WAY, TERENURE DUBLIN 6",Dublin,,"???335,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
21/12/2018,"24 Elm Grove, Crann Ard, Fermoy",Cork,,"???195,881.00",No,Yes,New Dwelling house /Apartment,,52.13583,-8.27583
30/07/2018,"53 MARSHAM COURT, KILMACUD RD UPPER, STILLORGAN",Dublin,,"???490,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
24/09/2018,"5 LIMEKILIN, BATHVIEW, MALLOW",Cork,,"???196,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.13333,-8.63333
27/04/2018,"78 CARNE HILL, JOHNSTOWN, NAVAN",Meath,,"???325,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.65278,-6.68139
14/03/2018,"25 CHESTNUT GROVE, CLASSES LAKES, OVENS",Cork,,"???350,000.00",No,No,Second-Hand Dwelling house /Apartment,,51.86667,-8.66667
4/10/2018,"8A FITZWILLIAM COURT, WINTON RD, DUBLIN 6",Dublin,,"???200,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.33306,-6.24889
27/07/2018,"14 SHARWOOD, NEWCASTLE WEST, LIMERICK",Limerick,,"???65,000.00",No,No,Second-Hand Dwelling house /Apartment,,52.4520747,-9.0507562
22/05/2018,"78 WOODFIELD EST, GALWAY RD, TUAM",Galway,,"???120,000.00",No,No,Second-Hand Dwelling house /Apartment,,53.51667,-8.85
