Address,County,Not Full Market Price,VAT Exclusive,row_id,"Price(1,000 €)",year,quarter,year_norm,is_new_property
"LISMIHILL, KILLIMOR, BALLINASLOE",Galway,0,0,0,125.0,2016,4,0,0
"BARTON HOUSE, OLDTOWN, LETTERKENNY",Donegal,0,0,1,100.0,2016,2,0,0
"Apartment 84, Hampton Wood Avenue, Hampton Wood",Dublin,1,1,2,175.0,2016,4,0,1
"8 THE BELFRY, COCK HILL, CHURCH VIEW",Cavan,0,0,3,65.0,2016,2,0,0
"8 THE PLACE, NEWCASTLE MANOR, NEWCASTLE",Dublin,0,0,4,190.0,2016,3,0,0
"LENABOY, ARDAGH, LONGFORD",Longford,0,0,6,83.0,2016,3,0,0
"33 MEADOW PARK, PULLAMORE, DUBLIN RD",Cavan,0,0,8,191.0,2016,1,0,0
"14 GORT AN DUIN, ORANHILL, ORANMORE",Galway,0,1,9,245.82,2016,2,0,1
"15 THE HOLLOWS, NEWCASTLE RD, LUCAN",Dublin,0,0,10,147.5,2016,2,0,0
"23 EARL COURT, LOUGH RYNN ESTATE, MOHILL",Leitrim,0,0,11,60.0,2016,2,0,0
"15 COWPER HALL, MOUNT ST ANNES, MILLOTWN DUBLIN 6",Dublin,0,0,12,693.0,2016,3,0,0
"18 A ST FINTANS VILLAS, DEANSGRANGE, DUBLIN",Dublin,0,0,14,437.0,2016,3,0,0
"AMELIE, CINN UISCE, CLAREGALWAY",Galway,0,0,15,386.0,2016,4,0,0
"126 COLLINS PARK, WHITEHALL, DUBLIN 9",Dublin,0,0,16,325.0,2016,4,0,0
"110 CARRIGWOOD, BALLYCULLEN DR, FIRHOUSE DUBLIN 24",Dublin,0,0,17,340.0,2016,4,0,0
"KILNAGARBET, STRADONE, CAVAN",Cavan,0,0,18,205.0,2016,3,0,0
"4 IONA VILLAS, GLASNEVIN, DUBLIN 9",Dublin,0,0,19,444.0,2016,3,0,0
"90 DUN NA HINSE, LAHINCH ROAD, ENNIS",Clare,0,0,20,63.0,2016,2,0,0
"40 CLUAIN ARD, BALLYVALLEY, TRALEE",Kerry,0,0,21,149.0,2016,3,0,0
"APT 44, MANOR HALL, MOUNT BROWNE DUBLIN 8",Dublin,0,0,22,220.0,2016,3,0,0
"91 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,0,0,23,191.0,2016,4,0,0
"11 ATHLUMNEY VILLAS, RANELAGH, DUBLIN",Dublin,0,0,24,275.0,2016,2,0,0
"CARRIGFOYLE, MONKS MEADOW, COAST ROAD",Dublin,0,0,25,1000.0,2016,4,0,0
"17 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",Dublin,0,0,26,281.0,2016,1,0,0
"11 BRINKWATER HOUSE, QUINCENTENNIAL DR, SALTHILL",Galway,1,0,27,95.0,2016,2,0,0
"30 The Glen, Oldtown Mill, Celbridge",Kildare,1,1,28,285.0,2016,4,0,1
"17 BURROW COURT, PORTMARNOCK, DUBLIN",Dublin,0,0,29,640.0,2016,3,0,0
"INNISFREE, WAFERSBOROUGH ARDAMINE, GOREY",Wexford,0,0,30,210.0,2016,3,0,0
"96 WOODLANDS, DUNLEER, LOUTH",Louth,0,0,31,175.0,2016,4,0,0
"12 ABBOT CRESCENT, HOLYCROSS, THURLES",Tipperary,0,0,32,162.5,2016,3,0,0
"22 CHURCH ST, SKERRIES, DUBLIN",Dublin,0,0,33,525.0,2016,4,0,0
"65 RIDGEWOOD SQ, SWORDS, DUBLIN",Dublin,0,0,34,198.0,2016,2,0,0
"64 Chestnut Avenue, Fruithill Manor, Graiguecullen",Laois,0,1,35,127.75,2016,4,0,1
"41 ROS GLAS, MONASTEREVAN, KILDARE",Kildare,0,0,36,155.0,2016,3,0,0
"16 ADMIRAN PARK, STRANORLAR, DONEGAL",Donegal,0,0,37,113.0,2016,4,0,0
"BALLYDUFFMORE, BALLYDUFF, DUNGARVAN",Waterford,0,0,38,550.0,2016,3,0,0
"APT 4, THE SACRATASSAGARD GREEN, SAGGART",Dublin,0,0,39,238.0,2016,4,0,0
"4 BLACKBERRY LANE, RATHMINES, DUBLIN 6",Dublin,0,0,40,440.0,2016,1,0,0
"13 SOUTH LOTTS RD, DUBLIN 4, DUBLIN",Dublin,0,0,41,435.0,2016,2,0,0
"23 WATERMILL PARK, RAHENY, DUBLIN 5",Dublin,0,0,42,341.0,2016,4,0,0
"58 SHINGAN, MILEHOUSE RD, ENNISCORTHY",Wexford,0,0,43,86.5,2016,1,0,0
"135 WHITEFIELDS, STATION RD, PORTARLINGTON",Laois,0,0,44,145.0,2016,1,0,0
"11 Castle Rivers, Conna",Cork,0,1,45,215.86,2016,4,0,1
"14 DUNLIN STREET, ASTON VILLAGE, DROGHEDA",Louth,0,0,46,139.0,2016,1,0,0
"12 THE RISE, BARNHILL RD, DALKEY",Dublin,0,0,47,850.0,2016,3,0,0
"2 MORNINGTON MANOR CRESCENT, MORNINGTON, MEATH",Meath,0,0,48,213.0,2016,2,0,0
"117 Ashmount Mews, Silversprings",Cork,0,1,49,132.16,2016,2,0,1
"RAHTBRAN, GRANGECON, CO WICKLOW",Wicklow,0,0,50,197.5,2016,3,0,0
"APT 3A, CARROWMORE MEADOWS, KNOCK",Mayo,0,0,51,120.0,2016,1,0,0
"THE MANSE, DROMENA RD, CASTLEBELLINGHAM",Louth,0,0,52,245.0,2016,4,0,0
"44 BROOKLANDS, MARLTON RD, WICKLOW",Wicklow,0,0,53,160.0,2016,1,0,0
"31 DOWLAND RD, WALKINSTOWN, DUBLIN 12",Dublin,0,0,54,250.0,2016,1,0,0
"2 LADYCASTLE COTTAGES, STRAFFAN, KILDARE",Kildare,0,0,55,320.0,2016,1,0,0
"45 PRIORY COURT, EDEN GATE, DELGANY",Wicklow,0,0,56,162.0,2016,1,0,0
"72 SPRINGFIELD GROVE, ROSSMORE VILLAGE, DUNDRUM RD",Tipperary,0,0,57,132.0,2016,4,0,0
"14 CORAL, THE GRANGE, BREWERY ROAD",Dublin,0,0,58,397.5,2016,4,0,0
"52 Orchard Way, Greenwood Walk, Ayrfield",Dublin,0,1,59,130.0,2016,3,0,1
"FAIRWAYS, THE PARK, KILLARNEY",Kerry,0,0,60,290.0,2016,1,0,0
"16 Smithlands Court, Kilkenny",Kilkenny,0,0,61,85.0,2016,2,0,1
"APT 38 SMITHFIELD GATE, RED COW LANE, SMITHFIELD",Dublin,0,0,62,178.5,2016,2,0,0
"12 OAK DR, RUSHBROOKE LINKS, COBH",Cork,0,0,63,200.0,2016,4,0,0
"69 The Bay, Elm Park, Merrion Road",Dublin,0,0,64,141.48,2016,1,0,0
"6 DRUMCONDRA RD LOWER, DUBLIN 9, DUBLIN",Dublin,0,0,65,140.0,2016,2,0,0
"55 GLEANN RUA, BALLYGARVAN, CORK",Cork,0,0,66,220.0,2016,2,0,0
"17 KNIGHTSBRIGE MEWS, LONGWOOD ROAD, TRIM",Meath,0,0,69,180.0,2016,2,0,0
"36 Hayfield, Straffan Road, Maynooth",Kildare,0,1,70,229.08,2016,4,0,1
"111 MARITANA GATE, CANADA ST, WATERFORD",Waterford,0,0,71,63.64,2016,1,0,0
"Old Postoffice, Raharney",Westmeath,0,0,72,365.0,2016,1,0,0
"2 CNOC NA GAOITHE, LANESBORO, LONGFORD",Longford,0,0,73,85.0,2016,2,0,0
"32 BROOKLAWNS, POLLERTON, CARLOW",Carlow,0,0,74,145.0,2016,4,0,0
"1 SINGLETON COTTAGES, MELL, DROGHEDA",Louth,0,0,75,71.0,2016,3,0,0
"APARTMENT 51, TEMPLE COURT, DOMINIC STREET",Dublin,0,0,76,100.0,2016,1,0,0
"9 THE ORCHARD, DUNCARBRY, TULLAGHAN",Leitrim,0,0,77,61.0,2016,1,0,0
"NO. 11 THE LINKS, TULLA STRAND, BUNDORAN",Donegal,0,0,78,133.0,2016,1,0,0
"MUSCRAI, KILSHANNA, MITCHELSTOWN",Cork,0,0,80,137.0,2016,4,0,0
"33 Woodleigh Park, Blessington",Wicklow,1,1,81,230.0,2016,2,0,1
"74 THE WAY, HUNTERS RUN, CLONEE DUBLIN 15",Dublin,0,0,82,295.0,2016,4,0,0
"9 THE WILLOWS, GORT AN OIR, CASTLEMARTYR",Cork,0,0,84,280.0,2016,1,0,0
"33 DAARWOOD, GORTBOY, NEWCASTLE WEST",Limerick,0,0,85,130.0,2016,1,0,0
"2 RIVER GLEN, CURRACLOE, ENNISCORTHY",Wexford,0,0,86,162.0,2016,4,0,0
"74A RATHVILLY DRIVE, FINGLAS, DUBLIN 11",Dublin,0,0,87,116.0,2016,4,0,0
"74 CLUAIN ARD, SEA RD, ARKLOW",Wicklow,0,0,89,193.0,2016,1,0,0
"17 Wyvern Square, Bray Civic Centre, Bray",Wicklow,0,1,90,541.85,2016,3,0,1
"DERRY, BERRINGS, CORK",Cork,0,0,91,140.0,2016,1,0,0
"4 GLENDARA, DROMOD, LEITRIM",Leitrim,0,0,92,93.0,2016,3,0,0
"THE HILL, ABBEYFEALE, LIMERICK",Limerick,0,0,93,66.0,2016,4,0,0
"69 COLLEGE ST, CAVAN, CAVAN",Cavan,0,0,96,70.0,2016,4,0,0
"70 THE CLOSE, CURRAGH GRANGE, NEWBRIDGE",Kildare,0,0,97,212.0,2016,1,0,0
"3 THE DALE, MOYGLARE HALL, MAYNOOTH",Kildare,1,0,99,287.5,2016,3,0,0
"THE BUNGALOW, ARBUCKLE ROW, BACHELORS WALK",Mayo,0,0,100,72.0,2016,4,0,0
"28 Hayfield, Straffan Road",Kildare,0,1,101,320.0,2016,4,0,1
"BLACKTHORN LODGE, OLDTOWN, NQF 25 N16",Dublin,0,0,102,515.0,2016,2,0,0
"8 MANOR CLOSE, CARRICK ON SUIR, CO TIPPERARY",Tipperary,0,0,103,117.28,2016,4,0,0
"12 GLENVILLE RD, BLANCHARDSTOWN, DUBLIN 15",Dublin,0,0,104,410.0,2016,1,0,0
"60 BRUACH NA HABHAINN, QUIN ROAD, ENNIS",Clare,0,0,105,127.0,2016,4,0,0
"43 CASTLEMANOR, RACECOURSE ROAD, ROSCOMMON",Roscommon,0,1,106,149.78,2016,2,0,1
"6 LAKE GARDENS, KILMINCHY, PORTLAOISE",Laois,0,0,107,100.0,2016,2,0,0
"CLONCOGHER, KILLEIGH, TULLAMORE",Offaly,0,0,108,300.0,2016,2,0,0
"2 SOMMERVILLE, REEVESWOODS, DOUGLAS",Cork,0,0,109,265.0,2016,1,0,0
"11 CONNOLLY ST, BANDON, CORK",Cork,0,0,110,155.0,2016,3,0,0
"48 BOTANIC AVE, DRUMCONDRA, DUBLIN 9",Dublin,0,0,111,345.0,2016,3,0,0
"56 CHURCHWELL DR, BELMAYNE, BALGRIFFIN DUBLIN 17",Dublin,0,0,112,275.0,2016,4,0,0
"1 Kilmalum Drive, Blessington Manor, Blessington",Kildare,0,1,113,387.67,2016,4,0,1
"89 COLLEGE ST, BALLYSHANNON, DONEGAL",Donegal,0,0,114,84.0,2016,2,0,0
"ROSAN, 9 DOWDINGSTOWN, TWO MILE HOUSE",Kildare,0,0,115,495.0,2016,3,0,0
"Apartment 171 Neptune Block, Honeypark, Dun Laoghaire",Dublin,0,1,116,308.37,2016,4,0,1
"206 ROSEMOUNT, THURLES, TIPPERARY",Tipperary,0,0,117,160.0,2016,2,0,0
"Knockaunbaun, Knockroe, Loughrea",Galway,0,1,118,102.5,2016,1,0,1
"9 ST PHILOMENAS PLACE, CARRIGALINE, CORK",Cork,0,0,119,152.0,2016,1,0,0
"APT 2 COOPER HOUSE, 38 WATERCOURSE ROAD, BLACKPOOL",Cork,0,0,120,90.0,2016,2,0,0
"15 Glebe Hill, Brackenstown, Swords",Dublin,0,1,122,352.42,2016,4,0,1
"1F BEECH PARK, BALLYHAUNIS, MAYO",Mayo,0,0,123,80.0,2016,2,0,0
"99 THE MALTINGS, BOHAN ST, DUBLIN CITY",Dublin,0,0,126,150.0,2016,4,0,0
"18 CHURCHLANDS, SLANE, MEATH",Meath,0,0,127,80.0,2016,3,0,0
"8 CONOR MANOR, VIRGINIA RD, BAILIEBOROUGH",Cavan,0,0,128,79.0,2016,4,0,0
"2 PRIORY VIEW, ST RAPHAELS MANOR, CELBRIDGE",Kildare,0,0,129,320.0,2016,4,0,0
"2279 MARYVILLE, KILDARE",Kildare,0,0,130,130.0,2016,1,0,0
"9 HEATHER LAWN, MARLAY WOOD, RATHFARNHAM DUBLIN 16",Dublin,0,0,131,330.0,2016,1,0,0
"2 SEAVIEW CLOSE, CARRIGALINE, CORK",Cork,0,0,132,210.0,2016,1,0,0
"20 JOE MURPHY RD, BALLYPHEHANE, CORK",Cork,1,0,133,125.02,2016,1,0,0
"9 MCNAMARA TERRACE, WOLFE TONE ST, LIMERICK",Limerick,0,0,134,120.0,2016,4,0,0
"14 WOODSIDE HALL, TICKNOCK HILL, TICKNOCK DUBLIN 18",Dublin,0,0,135,231.2,2016,3,0,0
"3 BARR NA SRAIDE, SLEAVEEN ROAD, MACROOM",Cork,0,0,136,106.5,2016,1,0,0
"46 PEARSE PARK, DUNDALK, LOUTH",Louth,0,0,137,95.0,2016,4,0,0
"45 SHANGANAGH VALE, CABINTEELY, DUBLIN",Dublin,0,0,138,530.0,2016,1,0,0
"55 SANDY COVE, PHASE 2, BALLYMONEY",Wexford,0,0,139,226.0,2016,3,0,0
"26 The Beeches, Archerstown Demesne, Ashbourne",Meath,0,1,140,303.96,2016,1,0,1
"34 Monalin, Newtownmountkennedy",Wicklow,0,1,141,237.0,2016,2,0,1
"APT 15, SOUTH MALL COURT, BEASLY ST",Cork,0,0,142,80.0,2016,4,0,0
"2 WATERVILLE, ENNISCROME, SLIGO",Sligo,0,0,143,125.0,2016,3,0,0
"3 CASTLEFARM WOOD, SHANKILL, DUBLIN 18",Dublin,0,0,144,442.0,2016,2,0,0
"THE PIGEONS, ATHLONE, WESTMEATH",Westmeath,0,0,145,194.0,2016,2,0,0
"18 C HORAN HALL, BELGARD SQUARE, TALLAGHT",Dublin,0,0,146,170.0,2016,4,0,0
"IVY HOUSE, MAIN ST, FOYNES",Limerick,0,0,147,218.0,2016,2,0,0
"21 BALDWIN ST, MITCHELSTOWN, CORK",Cork,0,0,148,70.0,2016,2,0,0
"26 ST JOHNS, TRIM, MEATH",Meath,0,0,149,282.5,2016,4,0,0
"7 GLENVIEW, KILLGARRON HILL, ENNISKERRY",Wicklow,0,0,150,715.0,2016,1,0,0
"DRUMARD HOUSE, KILLYKEEN, CAVAN",Cavan,0,0,151,385.0,2016,1,0,0
"77 ST COLUMBANUS RD, MILLTOWN, DUBLIN 14",Dublin,0,0,152,355.0,2016,2,0,0
"BERMINGHAM ROAD, TUAM, CO GALWAY",Galway,0,0,153,130.0,2016,1,0,0
"1 MONALEE HEIGHTS, BALLYMONEEN ROAD, KNOCKNACARRA",Galway,0,0,154,195.0,2016,3,0,0
"41 MILLBROOK VILLAGE, MILLTOWN, KILLARNEY",Kerry,0,0,155,150.0,2016,3,0,0
"STONE COTTAGE, SEAFRONT, GREENORE",Louth,0,0,156,95.0,2016,2,0,0
"32 ROYAL MEADOWS, KILCOCK, KILDARE",Kildare,0,0,157,420.0,2016,4,0,0
"APT 3 ODRISCOLL BUILDINGS, MAINSTREET, INNISHANNON",Cork,0,0,158,86.0,2016,4,0,0
"17 Ard Aoibheann, Donegal Town, COUNTY DONEGAL",Donegal,0,1,159,172.5,2016,3,0,1
"MILL HOUSE, BALLYARR, RAMELTON",Donegal,0,0,160,200.0,2016,2,0,0
"Broomfield, Midleton",Cork,0,1,161,70.0,2016,1,0,1
"43 TOWNPARKS, COMMONS RD, NAVAN",Meath,0,0,162,100.0,2016,1,0,0
"7 Belarmine Walk, Belarmine Woods, Stepaside  Dublin 18",Dublin,0,1,163,348.01,2016,1,0,1
