Address,County,not_full_price,vatx,row_id,price,year,quarter,year_norm,is_new_property,distance,LnP
"LISMIHILL, KILLIMOR, BALLINASLOE",Galway,0,0,0,125.0,2016,4,0,0,56.00310971260139,4.8283137373023015
"BARTON HOUSE, OLDTOWN, LETTERKENNY",Donegal,0,0,1,100.0,2016,2,0,0,40.8183301987259,4.605170185988092
"Apartment 84, Hampton Wood Avenue, Hampton Wood",Dublin,1,1,2,175.0,2016,4,0,1,2.0096305578111666,5.1647859739235145
"8 THE BELFRY, COCK HILL, CHURCH VIEW",Cavan,0,0,3,65.0,2016,2,0,0,0.09928754539606352,4.174387269895637
"8 THE PLACE, NEWCASTLE MANOR, NEWCASTLE",Dublin,0,0,4,190.0,2016,3,0,0,16.506681612915678,5.247024072160486
"LENABOY, ARDAGH, LONGFORD",Longford,0,0,6,83.0,2016,3,0,0,13.029824284434092,4.418840607796598
"33 MEADOW PARK, PULLAMORE, DUBLIN RD",Cavan,0,0,8,191.0,2016,1,0,0,0.09928754539606352,5.25227342804663
"14 GORT AN DUIN, ORANHILL, ORANMORE",Galway,0,1,9,245.82,2016,2,0,1,9.101057290660652,5.5045995607868345
"15 THE HOLLOWS, NEWCASTLE RD, LUCAN",Dublin,0,0,10,147.5,2016,2,0,0,2.0096305578111666,4.993828175779875
"23 EARL COURT, LOUGH RYNN ESTATE, MOHILL",Leitrim,0,0,11,60.0,2016,2,0,0,24.748543351157693,4.0943445622221
"15 COWPER HALL, MOUNT ST ANNES, MILLOTWN DUBLIN 6",Dublin,0,0,12,693.0,2016,3,0,0,2.0096305578111666,6.541029999189903
"18 A ST FINTANS VILLAS, DEANSGRANGE, DUBLIN",Dublin,0,0,14,437.0,2016,3,0,0,2.0096305578111666,6.07993319509559
"AMELIE, CINN UISCE, CLAREGALWAY",Galway,0,0,15,386.0,2016,4,0,0,10.592720151494818,5.955837369464831
"126 COLLINS PARK, WHITEHALL, DUBLIN 9",Dublin,0,0,16,325.0,2016,4,0,0,2.0096305578111666,5.783825182329737
"110 CARRIGWOOD, BALLYCULLEN DR, FIRHOUSE DUBLIN 24",Dublin,0,0,17,340.0,2016,4,0,0,2.0096305578111666,5.8289456176102075
"KILNAGARBET, STRADONE, CAVAN",Cavan,0,0,18,205.0,2016,3,0,0,8.3147862230124,5.3230099791384085
"4 IONA VILLAS, GLASNEVIN, DUBLIN 9",Dublin,0,0,19,444.0,2016,3,0,0,2.0752729362708875,6.095824562432225
